Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,Year,player_clean,p_era,xwoba,whiff_percent,k_percent,bb_percent,hard_hit_percent,barrel_batted_rate,exit_velocity_avg,WAR_per_180,proj_WAR_180,pitching_archetype,pitching_role,core_flag,surplus_flag
Corbin Burnes,30,ARI,NL,2.0,3,2,0.6,2.66,11,11,0,0,0,0,64.1,49,23,19,7,26,1,63,3,2,1,265,163.0,3.94,1.166,6.9,1.0,3.6,8.8,2.42,,burneco01,2025,corbin burnes,2.66,0.306,25.7,23.8,9.8,41.6,8.1,89.5,5.61622464898596,4.132754557351891,Frontline Starter,Starter,True,False
Ryne Nelson,27,ARI,NL,3.5,7,3,0.7,3.39,33,23,4,0,0,1,154.0,124,62,58,17,41,0,132,4,0,1,619,127.0,3.73,1.071,7.2,1.0,2.4,7.7,3.22,,nelsory01,2025,ryne nelson,3.39,0.308,21.6,21.3,6.6,45.5,7.5,91.4,4.090909090909091,3.3901341213519793,Mid-Rotation Starter,Starter,True,False
