Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Year,Player-additional.1,player_clean,xwoba,xslg,xba,barrel_batted_rate,exit_velocity_avg,sweet_spot_percent,k_percent,bb_percent,WAR_per_600,proj_WAR_600,hitting_archetype,hitting_role,core_flag,surplus_flag
Ketel Marte#,31,ARI,NL,4.4,126,556,480,87,136,28,0,28,72,4,2,64,83,0.283,0.376,0.517,0.893,145.0,0.381,142.0,248,12,9,0,3,6,4D/H,ASMVP-22SS,marteke01,2025,marteke01,ketel marte,0.39,0.534,0.285,13.5,90.8,33.0,14.9,11.5,4.748201438848921,5.110861176495536,Power Bat,Everyday Player,True,False
Corbin Carroll*,24,ARI,NL,5.8,143,642,564,107,146,32,17,31,84,32,6,67,153,0.259,0.343,0.541,0.883,140.0,0.382,137.0,305,6,7,0,4,4,*9/8DH,ASMVP-6SS,carroco02,2025,carroco02,corbin carroll,0.372,0.529,0.262,14.5,92.1,33.5,23.8,10.4,5.420560747663552,4.360117420872815,Power Bat,Everyday Player,True,False
Geraldo Perdomo#,25,ARI,NL,7.0,161,720,597,98,173,33,5,20,100,27,6,94,83,0.29,0.389,0.462,0.851,136.0,0.382,139.0,276,11,10,8,11,1,*6/H,MVP-4SS,perdoge01,2025,perdoge01,geraldo perdomo,0.356,0.424,0.278,6.2,87.6,36.2,11.5,13.1,5.833333333333333,3.981090362465997,High-OBP / Table Setter,Everyday Player,True,False
