Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,Year,player_clean,p_era,xwoba,whiff_percent,k_percent,bb_percent,hard_hit_percent,barrel_batted_rate,exit_velocity_avg
Ryan Thompson,33,ARI,NL,0.3,3,2,0.6,3.92,48,0,9,0,0,1,41.1,42,21,18,4,13,2,36,2,1,0,175,111.0,3.74,1.331,9.1,0.9,2.8,7.8,2.77,,thompry02,2025,ryan thompson,3.92,0.296,25.3,20.6,7.4,40.3,8.1,89.9
Anthony DeSclafani,35,ARI,NL,-0.1,1,2,0.333,5.12,13,4,5,0,0,2,38.2,37,23,22,11,12,2,36,5,0,0,169,85.0,6.29,1.267,8.6,2.6,2.8,8.4,3.0,,desclan01,2025,anthony desclafani,5.12,0.316,25.9,21.3,7.1,43.1,8.6,89.9
John Curtiss,32,ARI,NL,0.4,3,2,0.6,3.93,30,0,12,0,0,1,36.2,29,18,16,5,5,0,24,0,0,0,141,111.0,4.01,0.927,7.1,1.2,1.2,5.9,4.8,,curtijo02,2025,john curtiss,3.93,0.32,20.4,17.0,3.5,42.9,8.9,90.0
Jake Woodford,28,ARI,NL,-0.8,0,4,0.0,6.44,22,0,8,0,0,3,36.1,45,28,26,3,13,1,23,3,0,1,170,68.0,4.26,1.596,11.1,0.7,3.2,5.7,1.77,,woodfja01,2025,jake woodford,6.44,0.345,16.4,13.5,7.6,33.6,6.9,86.1
Juan Morillo,26,ARI,NL,0.2,0,3,0.0,4.19,42,0,6,0,0,1,34.1,38,19,16,2,20,0,36,1,0,3,152,104.0,3.63,1.689,10.0,0.5,5.2,9.4,1.8,,morilju02,2025,juan morillo,4.19,0.301,26.6,23.7,13.2,42.1,5.3,87.2
Nabil Crismatt,30,ARI,NL,0.2,3,0,1.0,3.71,8,5,1,0,0,0,34.0,40,20,14,6,9,0,25,1,0,1,153,117.0,4.84,1.441,10.6,1.6,2.4,6.6,2.78,,crismna01,2025,nabil crismatt,3.71,0.331,23.8,16.3,5.9,29.7,5.1,87.9
José Castillo*,29,ARI,NL,-0.3,0,1,0.0,11.37,5,0,2,0,0,0,6.1,10,8,8,3,3,0,3,0,3,0,31,40.0,9.77,2.053,14.2,4.3,4.3,4.3,1.0,,castijo03,2025,josé castillo,3.94,0.315,22.6,20.1,9.4,42.6,5.9,89.7
Andrew Saalfrank*,27,ARI,NL,1.6,2,1,0.667,1.24,28,0,10,0,0,3,29.0,19,5,4,1,10,1,19,0,0,2,113,351.0,3.31,1.0,5.9,0.3,3.1,5.9,1.9,,saalfan01,2025,andrew saalfrank,1.24,0.312,27.9,16.8,8.8,40.5,7.1,88.9
Tayler Scott,33,ARI,NL,-0.4,0,0,,9.0,6,0,3,0,0,0,9.0,13,9,9,3,4,0,7,0,0,0,44,50.0,7.25,1.889,13.0,3.0,4.0,7.0,1.75,,scottta02,2025,tayler scott,7.9,0.382,27.7,17.9,13.4,44.0,11.0,89.0
Kevin Ginkel,31,ARI,NL,-0.8,1,4,0.2,7.36,29,0,9,0,0,3,25.2,29,22,21,2,13,0,29,2,0,1,121,59.0,3.64,1.636,10.2,0.7,4.6,10.2,2.23,,ginkeke01,2025,kevin ginkel,7.36,0.33,28.1,24.0,10.7,45.5,10.4,89.7
Kyle Backhus*,27,ARI,NL,-0.1,0,3,0.0,4.62,32,0,10,0,0,2,25.1,28,14,13,3,8,0,22,3,0,1,115,95.0,4.24,1.421,9.9,1.1,2.8,7.8,2.75,,backhky01,2025,kyle backhus,4.62,0.328,21.8,19.1,7.0,35.4,4.9,89.1
Bryce Jarvis,27,ARI,NL,0.0,0,0,,5.73,12,0,7,0,0,1,22.0,23,14,14,3,10,0,21,1,0,0,98,76.0,4.5,1.5,9.4,1.2,4.1,8.6,2.1,,jarvibr01,2025,bryce jarvis,5.73,0.314,20.9,21.4,10.2,43.9,7.6,91.1
Kendall Graveman,34,ARI,NL,-0.4,1,0,1.0,7.13,19,0,4,0,0,0,17.2,23,14,14,2,12,0,9,1,0,0,82,62.0,5.8,1.981,11.7,1.0,6.1,4.6,0.75,,graveke01,2025,kendall graveman,7.13,0.395,28.1,11.0,14.6,50.0,10.0,90.3
Taylor Rashi,29,ARI,NL,0.2,0,1,0.0,4.41,10,0,5,0,0,2,16.1,16,8,8,0,8,0,22,0,0,1,72,100.0,1.91,1.469,8.8,0.0,4.4,12.1,2.75,,rashita01,2025,taylor rashi,4.41,0.301,29.3,30.6,11.1,42.9,4.8,89.3
Scott McGough,35,ARI,NL,-0.1,0,0,,6.43,7,0,2,0,0,0,7.0,6,5,5,1,6,0,5,1,0,0,35,70.0,6.56,1.714,7.7,1.3,7.7,6.4,0.83,,mcgousc01,2025,scott mcgough,6.75,0.377,30.8,21.3,9.3,47.1,17.6,91.4
Justin Martínez,23,ARI,NL,0.2,1,2,0.333,4.11,17,0,9,0,0,5,15.1,7,8,7,1,12,1,22,3,0,2,67,107.0,4.05,1.239,4.1,0.6,7.0,12.9,1.83,,martiju01,2025,justin martínez,,,,,,,,
Brandyn Garcia*,25,ARI,NL,-0.1,0,2,0.0,5.84,12,0,1,0,0,0,12.1,14,10,8,0,5,0,13,1,0,0,55,76.0,2.49,1.541,10.2,0.0,3.6,9.5,2.6,,garcibr02,2025,brandyn garcia,5.65,0.317,22.1,21.2,12.1,51.2,2.3,90.9
Juan Burgos,25,ARI,NL,-0.5,1,1,0.5,8.1,9,0,0,0,0,0,6.2,10,7,6,2,6,1,6,0,0,0,35,56.0,7.94,2.4,13.5,2.7,8.1,8.1,1.0,,burgoju01,2025,juan burgos,6.08,0.364,26.9,21.5,12.3,35.7,14.3,88.1
Andrew Hoffmann,25,ARI,NL,-0.3,1,1,0.5,7.36,8,0,2,0,0,0,7.1,7,6,6,1,6,0,7,0,0,0,35,61.0,5.45,1.773,8.6,1.2,7.4,8.6,1.17,,hoffman01,2025,andrew hoffmann,6.0,0.374,31.3,19.7,16.4,35.9,7.7,88.7
Joe Mantiply*,34,ARI,NL,-0.8,0,1,0.0,15.83,10,0,4,0,0,0,9.2,26,17,17,5,3,1,8,1,0,0,58,28.0,9.45,3.0,24.2,4.7,2.8,7.4,2.67,,mantijo01,2025,joe mantiply,15.83,0.36,20.9,13.8,5.2,34.8,10.9,89.4
A.J. Puk*,30,ARI,NL,0.2,0,0,,3.38,8,0,5,0,0,4,8.0,8,3,3,2,2,0,12,1,0,1,35,133.0,4.51,1.25,9.0,2.3,2.3,13.5,6.0,,pukaj01,2025,a.j. puk,3.38,0.265,32.5,34.3,5.7,25.0,5.0,86.7
Tommy Henry*,27,ARI,NL,0.1,0,0,,4.05,2,0,1,0,0,0,6.2,6,3,3,3,1,0,8,1,0,0,26,112.0,7.49,1.05,8.1,4.1,1.4,10.8,8.0,,henryto01,2025,tommy henry,4.05,0.419,28.8,30.8,3.8,62.5,25.0,94.8
Cristian Mena,22,ARI,NL,0.4,1,0,1.0,1.35,3,0,0,0,0,0,6.2,3,1,1,1,3,0,8,0,0,1,26,336.0,4.04,0.9,4.1,1.4,4.1,10.8,2.67,,menacr01,2025,cristian mena,1.35,0.274,30.4,30.8,11.5,46.7,6.7,86.8
Trevor Richards,32,ARI,NL,0.0,0,0,,3.38,2,0,1,0,0,0,2.2,4,1,1,0,0,0,3,0,0,1,11,145.0,0.89,1.5,13.5,0.0,0.0,10.1,,,richatr01,2025,trevor richards,7.94,0.291,20.7,17.2,6.9,22.7,0.0,85.1
J.P. Feyereisen,32,ARI,NL,-0.2,0,1,0.0,9.0,2,0,2,0,0,0,2.0,3,3,2,1,0,0,2,0,0,0,9,56.0,7.64,1.5,13.5,4.5,0.0,9.0,,,feyerjo01,2025,j.p. feyereisen,11.25,0.411,20.0,17.4,4.3,33.3,16.7,87.7
Philip Abner*,23,ARI,NL,0.0,0,0,,4.91,5,0,0,0,0,0,3.2,5,2,2,0,3,0,5,0,0,0,18,96.0,2.86,2.182,12.3,0.0,7.4,12.3,1.67,,abnerph01,2025,philip abner,4.91,0.311,24.2,27.8,16.7,20.0,10.0,85.9
Jeff Brigham,33,ARI,NL,-0.1,0,0,,8.1,4,0,1,0,0,0,3.1,7,3,3,1,1,0,3,0,0,0,18,59.0,6.14,2.4,18.9,2.7,2.7,8.1,3.0,,brighje01,2025,jeff brigham,8.1,0.476,12.5,16.7,5.6,57.1,7.1,91.6
Yilber Díaz,24,ARI,NL,-0.1,0,0,,9.0,1,0,1,0,0,0,3.0,4,3,3,0,3,0,1,0,0,1,15,54.0,5.47,2.333,12.0,0.0,9.0,3.0,0.33,,diazyi01,2025,yilber díaz,9.0,0.499,8.7,6.7,20.0,63.6,9.1,98.1
Drey Jameson,27,ARI,NL,0.2,0,1,0.0,3.0,3,0,2,0,0,1,3.0,4,2,1,0,3,0,0,0,0,1,13,161.0,6.14,2.333,12.0,0.0,9.0,0.0,0.0,,jamesdr01,2025,drey jameson,3.0,0.47,20.0,0.0,23.1,40.0,0.0,89.7
Christian Montes De Oca,25,ARI,NL,0.1,0,0,,0.0,1,0,0,0,0,0,2.2,0,0,0,0,1,0,2,0,0,0,9,,2.76,0.375,0.0,0.0,3.4,6.8,2.0,,montech01,2025,christian montes de oca,,,,,,,,
José Herrera,28,ARI,NL,0.0,0,0,,4.5,2,0,2,0,0,0,2.0,4,1,1,0,0,0,0,0,0,0,10,113.0,3.14,2.0,18.0,0.0,0.0,0.0,,,herrejo04,2025,josé herrera,,,,,,,,
Kyle Nelson*,28,ARI,NL,-0.1,0,0,,9.0,3,0,1,0,0,1,2.0,1,2,2,1,4,0,2,0,0,1,11,56.0,13.64,2.5,4.5,4.5,18.0,9.0,0.5,,nelsoky01,2025,kyle nelson,9.0,0.394,26.7,18.2,36.4,20.0,20.0,86.7
Austin Pope,26,ARI,NL,0.1,0,0,,0.0,1,0,0,0,0,0,2.0,2,0,0,0,1,0,1,0,0,0,9,,3.64,1.5,9.0,0.0,4.5,4.5,1.0,,popeau01,2025,austin pope,0.0,0.382,12.5,11.1,11.1,42.9,0.0,92.9
Casey Kelly,35,ARI,NL,0.1,0,0,,0.0,2,0,2,0,0,0,1.2,1,0,0,0,1,0,0,0,0,1,6,,4.94,1.2,5.4,0.0,5.4,0.0,0.0,,kellyca01,2025,casey kelly,0.0,0.305,20.0,0.0,16.7,40.0,0.0,89.4
