Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Year,Player-additional.1,player_clean,xwoba,xslg,xba,barrel_batted_rate,exit_velocity_avg,sweet_spot_percent,k_percent,bb_percent
John Curtiss,32,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,curtijo02,2025,curtijo02,john curtiss,,,,,,,,
Brandyn Garcia*,25,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,garcibr02,2025,garcibr02,brandyn garcia,,,,,,,,
Drey Jameson,27,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,jamesdr01,2025,jamesdr01,drey jameson,,,,,,,,
Joe Mantiply,34,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mantijo01,2025,mantijo01,joe mantiply,,,,,,,,
Justin Martínez,23,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martiju01,2025,martiju01,justin martínez,,,,,,,,
Shelby Miller,34,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,millesh01,2025,millesh01,shelby miller,,,,,,,,
Juan Morillo,26,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,morilju02,2025,morilju02,juan morillo,,,,,,,,
A.J. Puk*,30,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,pukaj01,2025,pukaj01,a.j. puk,,,,,,,,
Andrew Saalfrank*,27,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,saalfan01,2025,saalfan01,andrew saalfrank,,,,,,,,
Ryan Thompson,33,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thompry02,2025,thompry02,ryan thompson,,,,,,,,
