"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Mantiply, Joe",573009,2022,31,69,60.0,243,231,59,47,6,0,6,61,6,25.1,2.5,0.255,0.359,0.281,0.64,0.104,0.319,19,22,2,6,180,2,5,3,1,0,2.85,,,2,0,42,0.242,0.371,0.28,0.28,0.269,0.129,,,,,,,,,,,,,86.5,5.4,28.9,4.0,37.6,74.403432353,93.285583471,29.2,52.8
"Widener, Taylor",642203,2022,27,14,17.1,82,74,22,16,4,0,2,14,5,17.1,6.1,0.297,0.432,0.366,0.798,0.135,0.345,7,8,0,1,52,0,1,0,0,0,3.63,,,2,0,8,0.237,0.439,0.349,0.323,0.311,0.202,,,,,,,,,,,,,88.2,21.0,33.3,6.7,40.0,76.282810333,94.145150333,20.1,52.9
"Ginkel, Kevin",656464,2022,28,30,29.1,124,111,27,19,7,0,1,30,11,24.2,8.9,0.243,0.333,0.315,0.648,0.09,0.321,11,14,1,2,88,1,1,1,0,0,3.38,,,1,0,11,0.208,0.321,0.29,0.271,0.283,0.113,,,,,,,,,,,,,89.0,8.6,26.8,4.9,32.9,79.127680732,93.494308659,26.9,45.7
"Devenski, Chris",606965,2022,31,13,14.2,67,62,21,10,6,2,3,12,1,17.9,1.5,0.339,0.645,0.343,0.988,0.306,0.36,14,14,0,0,44,2,1,0,0,0,8.59,,,4,0,5,0.27,0.51,0.406,0.351,0.292,0.24,,,,,,,,,,,,,91.7,15.4,37.7,15.1,49.1,82.405314815,95.196106604,26.6,51.5
"Martin, Corbin",656686,2022,26,7,22.1,101,86,25,17,4,1,3,21,12,20.8,11.9,0.291,0.465,0.37,0.835,0.174,0.344,12,14,0,0,67,0,1,2,0,0,4.84,,,3,0,9,0.297,0.546,0.362,0.396,0.379,0.248,,,,,,,,,,,,,91.8,10.9,45.6,10.3,52.9,81.802640588,96.052270597,26.6,44.8
"Misiewicz, Anthony",664948,2023,28,11,11.0,55,48,17,10,3,2,2,8,6,14.5,10.9,0.354,0.625,0.418,1.043,0.271,0.385,9,11,0,1,33,2,0,3,0,0,7.36,,,0,0,5,0.332,0.562,0.434,0.419,0.411,0.23,71.6,15.4,5.6,3.8,22.2,15.4,7.5,1.0,13.3,-6.8,65.4,34.4,93.2,16.6,41.5,9.8,48.8,84.377524286,95.942813659,21.0,43.8
"Jameson, Drey",686753,2023,25,15,40.2,174,154,40,28,6,0,6,37,18,21.3,10.3,0.26,0.416,0.339,0.755,0.156,0.304,15,15,1,0,122,3,1,0,0,0,3.32,,,0,0,26,0.249,0.506,0.33,0.356,0.33,0.257,,,,,,,,,,,,,92.0,11.9,33.9,13.6,47.5,81.972548136,95.568070763,30.0,46.0
"Adams, Austin",613534,2023,32,24,17.1,81,68,16,14,1,0,1,22,8,27.2,9.9,0.235,0.294,0.358,0.652,0.059,0.333,11,12,0,1,52,0,1,2,0,0,5.71,,,5,0,7,0.197,0.308,0.306,0.295,0.326,0.111,71.9,27.3,11.1,9.1,27.8,22.7,7.2,2.0,3.3,5.5,40.9,33.2,84.3,15.1,32.6,4.3,32.6,71.769286957,92.476018696,29.3,45.3
"Chafin, Andrew",605177,2023,33,63,51.1,224,195,45,25,11,3,6,63,28,28.1,12.5,0.231,0.41,0.33,0.74,0.179,0.31,27,30,8,5,154,3,4,2,0,0,4.73,,,2,0,16,0.228,0.399,0.324,0.321,0.328,0.171,72.0,27.9,15.2,11.6,30.4,23.1,7.6,2.0,11.0,-3.1,49.0,35.0,86.8,13.9,38.6,9.8,32.6,74.918832923,93.364925462,31.8,43.0
"Kelly, Merrill",518876,2023,34,30,177.2,721,645,143,90,30,3,20,187,68,25.9,9.4,0.222,0.371,0.299,0.67,0.149,0.279,65,71,0,0,533,12,8,3,4,0,3.29,,,13,18,82,0.241,0.394,0.294,0.313,0.316,0.153,72.3,29.5,13.3,10.0,29.6,22.1,7.4,6.0,10.9,-2.6,55.2,34.6,89.6,11.8,35.1,7.8,41.8,78.631396856,94.559456681,27.0,49.1
"Nelson, Kyle",669459,2023,26,68,56.0,239,221,59,35,12,0,12,67,14,28.0,5.9,0.267,0.484,0.314,0.798,0.217,0.331,26,30,0,4,168,7,4,1,0,0,4.18,,,1,0,24,0.229,0.416,0.339,0.298,0.278,0.187,72.7,30.2,17.4,12.6,33.9,24.5,7.6,0.0,15.0,-8.9,61.0,33.3,89.6,16.3,39.5,9.6,39.5,79.423240658,94.139193179,31.0,52.5
"Sewald, Paul",623149,2023,33,65,60.2,249,221,46,30,8,0,8,80,24,32.1,9.6,0.208,0.353,0.287,0.64,0.145,0.284,21,23,34,5,182,3,2,1,0,0,3.12,,,7,0,9,0.187,0.313,0.281,0.259,0.268,0.126,70.6,17.4,9.8,7.2,23.1,16.9,7.0,3.0,6.7,3.2,47.2,31.8,85.9,20.9,34.0,5.6,29.9,74.509063429,92.696559143,29.3,49.8
"Bumgarner, Madison",518516,2023,33,4,16.2,90,72,25,13,8,0,4,10,15,11.1,16.7,0.347,0.625,0.456,1.081,0.278,0.35,19,20,0,0,50,0,3,0,0,0,10.26,,,3,0,7,0.327,0.576,0.451,0.43,0.44,0.249,,,,,,,,,,,,,89.4,14.3,34.4,12.5,43.8,77.100991563,95.027490469,17.1,43.4
"Thompson, Ryan",657044,2023,31,31,30.2,121,108,20,11,6,0,3,21,8,17.4,6.6,0.185,0.324,0.267,0.591,0.139,0.202,13,14,1,3,92,1,2,2,0,0,3.82,,,4,0,22,0.197,0.349,0.264,0.279,0.278,0.152,70.8,21.7,6.7,5.8,28.3,24.6,7.1,1.0,6.7,2.6,36.2,33.1,86.9,5.0,17.0,5.7,34.1,75.112111628,93.446035412,17.8,44.4
"Strzelecki, Peter",657265,2023,28,37,37.0,163,141,33,22,8,0,3,37,12,22.7,7.4,0.234,0.355,0.327,0.682,0.121,0.294,18,18,0,1,111,3,5,0,0,0,4.38,,,9,0,23,0.233,0.391,0.303,0.316,0.326,0.159,72.8,27.3,22.2,18.2,55.6,45.5,6.9,0.0,5.1,-0.4,54.5,31.4,89.1,14.7,34.0,7.5,36.8,79.79585,93.35481381,26.6,45.5
"Henry, Tommy",674072,2023,25,17,89.0,381,342,86,55,17,2,12,64,35,16.8,9.2,0.251,0.418,0.328,0.746,0.167,0.278,41,42,0,0,267,5,4,1,0,0,4.15,,,10,6,59,0.244,0.414,0.324,0.321,0.321,0.17,73.0,31.6,17.9,14.5,40.0,32.5,7.5,2.0,11.4,-1.8,58.1,34.2,87.9,16.8,33.8,7.6,32.4,77.311010942,93.325474819,22.3,48.7
"Saalfrank, Andrew",685314,2023,25,10,10.1,41,37,7,7,0,0,0,6,4,14.6,9.8,0.189,0.189,0.268,0.457,0.0,0.226,0,2,0,0,31,0,0,0,0,0,0.0,,,2,0,6,0.265,0.325,0.207,0.29,0.337,0.06,71.5,14.9,18.9,13.5,35.8,25.7,7.5,3.0,11.8,-3.4,60.8,35.3,86.7,-4.3,25.8,0.0,48.4,73.0302525,94.621302258,31.4,55.1
"Davies, Zach",605200,2023,30,18,82.1,377,332,98,67,17,4,10,72,39,19.1,10.3,0.295,0.461,0.37,0.831,0.166,0.348,64,67,0,0,247,2,5,0,0,0,7.0,,,8,3,54,0.28,0.457,0.36,0.355,0.358,0.177,72.3,27.9,21.7,17.3,34.9,27.9,7.4,2.0,11.0,-4.0,46.6,34.4,89.7,11.0,35.2,8.0,42.4,78.341048626,94.848384733,22.0,40.3
"Pfaadt, Brandon",694297,2023,24,19,96.0,421,386,109,59,25,3,22,94,26,22.3,6.2,0.282,0.534,0.329,0.863,0.252,0.316,61,63,0,0,288,3,9,0,0,0,5.72,,,8,3,30,0.249,0.463,0.362,0.326,0.299,0.215,71.9,25.5,14.9,11.5,34.4,26.5,7.4,7.0,11.2,-4.6,53.1,33.2,90.1,18.2,37.2,11.7,44.0,79.562691678,94.728173805,25.0,49.3
"Castro, Miguel",612434,2023,28,75,64.2,268,239,51,32,11,0,8,60,25,22.4,9.3,0.213,0.36,0.296,0.656,0.147,0.251,31,32,7,4,194,6,6,0,0,0,4.31,,,8,0,39,0.231,0.387,0.286,0.304,0.312,0.156,71.4,24.5,16.5,12.9,33.9,26.4,7.5,8.0,11.5,-4.7,51.5,33.9,86.1,10.5,33.3,6.1,28.3,74.751686517,92.77636882,26.9,45.7
"Vargas, Carlos",672841,2023,23,5,4.2,22,17,5,3,0,0,2,7,4,31.8,18.2,0.294,0.647,0.455,1.102,0.353,0.375,3,3,0,0,14,0,0,0,0,0,5.79,,,0,0,1,0.284,0.627,0.462,0.454,0.447,0.343,,,,,,,,,,,,,95.4,4.5,40.0,20.0,70.0,85.17965,98.739126,33.3,40.7
"Nelson, Ryne",669194,2023,25,29,144.0,619,559,159,88,37,10,24,96,46,15.5,7.4,0.284,0.515,0.334,0.849,0.231,0.301,85,87,0,0,432,8,8,6,1,0,5.31,,,2,7,97,0.263,0.493,0.357,0.349,0.319,0.23,72.2,28.9,16.5,13.4,36.2,29.4,7.2,2.0,9.1,-0.9,52.8,31.9,90.8,16.2,37.1,11.6,42.7,80.703908814,94.897921525,20.3,49.8
"Gallen, Zac",668678,2023,27,34,210.0,846,790,188,121,42,3,22,220,47,26.0,5.6,0.238,0.382,0.284,0.666,0.144,0.301,81,87,0,0,630,17,9,8,1,1,3.47,,,5,20,124,0.25,0.435,0.289,0.315,0.296,0.184,72.0,26.7,17.4,13.9,39.1,31.2,7.3,12.0,10.3,-1.2,53.1,32.8,91.5,12.3,36.4,9.2,46.2,82.024994196,95.003873538,26.4,47.2
"McGough, Scott",543518,2023,33,63,70.1,301,266,60,31,15,0,14,86,30,28.6,10.0,0.226,0.44,0.306,0.746,0.214,0.272,37,40,9,5,211,2,7,3,0,0,4.73,,,1,0,26,0.235,0.416,0.318,0.319,0.316,0.18,72.2,25.5,20.9,15.1,34.5,25.0,7.5,4.0,11.4,-5.3,51.0,32.3,91.3,10.5,30.1,10.4,48.6,80.605606374,95.733735249,32.0,47.7
"Solomon, Peter",656981,2023,26,5,13.1,67,55,17,7,6,2,2,6,11,9.0,16.4,0.309,0.6,0.433,1.033,0.291,0.319,18,18,0,0,40,0,0,1,0,0,12.15,,,1,0,2,0.315,0.567,0.435,0.429,0.438,0.252,,,,,,,,,,,,,94.3,14.7,38.8,14.3,59.2,85.8811592,96.901522245,20.7,39.0
"Mantiply, Joe",573009,2023,32,35,39.0,157,148,35,20,9,2,4,28,9,17.8,5.7,0.236,0.405,0.28,0.685,0.169,0.267,20,22,0,0,117,2,2,1,0,0,4.62,,,3,0,20,0.246,0.435,0.292,0.309,0.289,0.189,72.3,26.8,11.7,9.4,35.1,28.3,7.4,2.0,10.1,-2.2,54.3,34.0,87.7,7.1,28.3,9.2,35.8,76.512844833,93.591291513,23.2,49.7
"Crismatt, Nabil",622503,2023,28,8,13.0,65,57,19,13,3,0,3,12,7,18.5,10.8,0.333,0.544,0.415,0.959,0.211,0.381,12,13,0,0,39,0,2,2,1,0,8.31,,,1,0,5,0.232,0.393,0.413,0.32,0.326,0.161,72.8,33.3,33.3,16.7,50.0,25.0,7.9,1.0,20.1,-16.6,33.3,33.2,86.6,3.2,28.9,8.9,35.6,74.530228636,93.765856136,32.5,43.5
"Jarvis, Bryce",686826,2023,25,11,23.2,92,82,14,10,0,1,3,12,9,13.0,9.8,0.171,0.305,0.25,0.555,0.134,0.162,8,9,0,0,71,2,1,0,0,0,3.04,,,0,0,19,0.271,0.489,0.246,0.356,0.34,0.218,72.0,23.8,15.9,13.1,39.3,32.3,7.1,5.0,8.0,1.6,50.8,32.8,90.2,11.8,33.8,9.9,45.1,79.480878286,94.949333571,18.2,43.0
"Sulser, Cole",642121,2023,33,4,5.1,23,20,5,2,1,0,2,4,3,17.4,13.0,0.25,0.6,0.348,0.948,0.35,0.214,4,4,0,0,16,0,0,0,0,0,6.75,,,0,0,1,0.292,0.592,0.396,0.411,0.385,0.3,73.9,42.9,50.0,42.9,66.7,57.1,7.7,0.0,10.7,-1.8,57.1,31.0,90.3,21.4,43.8,12.5,50.0,79.068725,96.003706875,36.8,45.2
"Cecconi, Slade",677944,2023,24,7,27.0,111,104,27,14,8,1,4,20,4,18.0,3.6,0.26,0.471,0.297,0.768,0.211,0.284,13,13,0,0,81,0,1,0,0,0,4.33,,,1,0,7,0.257,0.496,0.325,0.335,0.295,0.239,71.5,20.5,16.9,14.2,41.2,34.7,7.2,2.0,9.5,-0.8,52.8,32.0,91.0,14.8,35.3,10.6,47.1,81.253281667,94.965638929,18.3,48.3
"Frías, Luis",666818,2023,25,29,31.0,139,120,30,16,11,0,3,26,17,18.7,12.2,0.25,0.417,0.353,0.77,0.167,0.297,14,14,0,1,93,1,0,1,0,0,4.06,,,3,0,19,0.251,0.427,0.339,0.344,0.353,0.176,72.3,24.7,12.0,9.0,27.1,20.2,7.6,3.0,14.2,-7.0,50.6,35.0,89.7,15.9,30.9,8.5,38.3,78.762276596,94.472970532,26.4,48.4
"Gilbert, Tyler",656457,2023,29,11,17.1,72,67,21,11,7,1,2,19,5,26.4,6.9,0.313,0.537,0.361,0.898,0.224,0.413,10,10,0,1,52,0,2,1,0,0,5.19,,,0,0,7,0.303,0.544,0.382,0.383,0.351,0.241,72.1,33.3,23.9,18.3,38.0,29.0,7.1,3.0,8.8,1.0,49.5,33.4,91.6,11.2,37.5,12.5,45.8,79.577044583,96.537793404,27.2,47.5
"Ginkel, Kevin",656464,2023,29,60,65.1,255,226,41,23,15,0,3,70,24,27.5,9.4,0.181,0.288,0.263,0.551,0.107,0.244,18,24,4,2,196,9,1,5,1,0,2.48,,,2,0,39,0.197,0.336,0.246,0.273,0.278,0.14,71.5,25.1,14.6,10.2,29.2,20.3,7.2,12.0,8.4,0.6,48.7,31.9,88.0,9.5,32.1,7.5,37.1,76.81440675,93.68903327,31.2,46.8
"Ruiz, José",614179,2023,28,38,44.1,207,178,52,32,9,1,10,39,21,18.8,10.1,0.292,0.522,0.382,0.904,0.23,0.321,29,31,0,2,133,2,1,3,1,0,5.89,,,4,0,22,0.265,0.458,0.385,0.354,0.359,0.193,71.9,18.5,20.0,14.8,35.0,25.9,7.6,1.0,10.4,-4.1,40.7,34.7,89.0,13.2,39.7,8.5,36.2,79.078778592,93.699931702,29.5,45.9
"Cecconi, Slade",677944,2024,25,20,77.0,338,313,92,52,23,1,16,64,17,18.9,5.0,0.294,0.527,0.335,0.862,0.233,0.322,57,57,0,0,231,2,7,2,1,0,6.66,,,6,3,35,0.252,0.461,0.366,0.33,0.3,0.209,71.2,20.6,14.0,11.3,34.8,28.2,7.2,4.0,9.6,-0.6,48.3,32.1,89.0,17.9,36.0,10.3,36.4,78.3622732,94.005374217,19.6,49.0
"Sewald, Paul",623149,2024,34,42,39.2,165,151,35,16,13,0,6,43,10,26.1,6.1,0.232,0.437,0.291,0.728,0.205,0.282,19,19,16,4,119,1,2,0,0,0,4.31,,,4,0,9,0.225,0.421,0.311,0.304,0.286,0.196,71.6,21.6,11.7,9.2,28.4,22.3,7.2,11.0,8.6,-0.3,53.7,30.8,90.0,26.0,34.9,9.2,42.2,79.845752037,94.379078037,24.4,52.8
"Floro, Dylan",571670,2024,33,66,68.2,279,258,65,50,10,0,5,48,17,17.2,6.1,0.252,0.349,0.299,0.648,0.097,0.29,29,31,0,1,206,6,4,1,0,0,3.8,,,9,0,40,0.259,0.397,0.285,0.311,0.307,0.138,71.5,20.3,15.3,12.6,41.2,34.0,7.3,4.0,9.8,-0.1,54.5,32.5,90.2,10.9,34.3,4.2,39.0,80.702774615,94.144938798,18.4,42.1
"Gallen, Zac",668678,2024,28,28,148.0,621,561,133,86,29,5,13,156,54,25.1,8.7,0.237,0.376,0.308,0.684,0.139,0.305,60,62,0,0,444,14,6,5,0,0,3.65,,,18,12,112,0.242,0.39,0.301,0.311,0.313,0.148,71.8,25.0,14.1,10.6,35.1,26.5,7.5,24.0,11.7,-5.1,51.7,33.6,90.0,11.8,34.9,7.4,41.0,79.81895601,94.40298237,26.0,44.2
"Frías, Luis",666818,2024,26,11,9.2,53,45,19,12,4,1,2,12,7,22.6,13.2,0.422,0.689,0.491,1.18,0.267,0.531,15,16,0,1,29,0,1,2,0,0,13.97,,,0,0,2,0.34,0.563,0.493,0.421,0.423,0.224,71.5,25.0,17.3,13.2,28.8,22.1,7.5,2.0,11.7,-2.6,45.6,32.6,91.7,11.5,47.1,11.8,52.9,81.289008235,95.399490882,25.2,46.7
"Bowman, Matt",621199,2024,33,25,30.2,132,117,26,14,7,0,5,24,13,18.2,9.8,0.222,0.41,0.311,0.721,0.188,0.239,15,15,0,0,92,1,0,0,0,0,4.4,,,3,0,11,0.245,0.46,0.314,0.342,0.331,0.215,71.9,24.2,14.1,11.6,35.0,28.8,7.2,1.0,8.9,1.1,53.0,31.4,89.3,8.4,36.6,11.8,40.9,78.217246596,94.413392903,18.6,43.3
"Henry, Tommy",674072,2024,26,9,38.1,182,157,49,26,12,2,9,30,18,16.5,9.9,0.312,0.586,0.392,0.978,0.274,0.333,30,31,0,0,115,2,3,0,0,0,7.04,,,1,1,37,0.285,0.52,0.414,0.385,0.371,0.235,72.7,31.9,16.6,14.0,33.6,28.4,7.5,1.0,10.8,-1.5,56.4,33.6,91.3,13.1,34.6,11.5,46.2,81.22754,95.232340698,16.7,46.7
"Mena, Cristian",691441,2024,21,1,3.0,15,12,4,2,0,0,2,2,3,13.3,20.0,0.333,0.833,0.467,1.3,0.5,0.25,4,4,0,0,9,0,0,0,1,0,12.0,,,0,0,5,0.293,0.669,0.529,0.463,0.434,0.376,72.8,37.0,19.0,14.8,33.3,25.9,7.7,0.0,12.6,-6.0,59.3,35.2,94.8,21.4,20.0,20.0,50.0,87.62067,95.97313,29.4,48.6
"Thompson, Ryan",657044,2024,32,67,66.1,272,252,64,47,8,4,5,52,15,19.1,5.5,0.254,0.377,0.296,0.673,0.123,0.299,24,26,2,7,199,7,5,2,0,0,3.26,,,17,0,35,0.254,0.407,0.29,0.312,0.299,0.153,72.3,28.5,19.4,15.3,37.2,29.3,7.2,8.0,6.8,1.1,43.0,34.5,90.0,-0.5,26.5,7.4,44.6,78.240616939,95.26022148,23.0,49.8
"Kelly, Merrill",518876,2024,35,13,73.2,300,277,67,39,16,1,11,63,19,21.0,6.3,0.242,0.426,0.294,0.72,0.184,0.275,33,35,0,0,221,5,1,1,2,0,4.03,,,5,5,49,0.262,0.483,0.311,0.345,0.313,0.221,72.7,30.6,14.2,11.4,32.3,25.9,7.5,7.0,11.6,-3.5,59.2,34.9,90.5,11.0,33.5,10.7,40.9,80.356688571,94.677066333,21.3,48.2
"Jarvis, Bryce",686826,2024,26,44,59.1,258,218,52,37,9,0,6,38,33,14.7,12.8,0.239,0.362,0.349,0.711,0.123,0.261,21,25,0,0,178,1,2,4,0,0,3.19,,,2,0,26,0.269,0.442,0.314,0.357,0.376,0.173,71.1,22.2,11.5,9.3,34.0,27.3,7.2,3.0,7.6,1.0,43.6,33.3,90.5,11.4,34.1,7.1,40.1,81.272036264,94.194507845,21.8,48.4
"Puk, A.J.",640462,2024,29,62,71.1,294,262,51,28,17,1,5,88,28,29.9,9.5,0.195,0.324,0.276,0.6,0.129,0.271,25,31,3,3,214,4,9,2,1,0,3.15,,,5,0,28,0.198,0.301,0.265,0.262,0.28,0.103,71.0,20.3,8.3,5.9,28.7,20.5,7.3,14.0,9.5,-2.6,47.8,32.0,86.2,16.8,35.2,4.0,33.5,74.536264828,92.955833678,31.8,49.3
"Mantiply, Joe",573009,2024,33,75,59.2,243,225,52,33,14,4,1,53,18,21.8,7.4,0.231,0.342,0.288,0.63,0.111,0.298,26,27,1,1,179,6,2,3,1,0,3.92,,,7,0,45,0.227,0.384,0.265,0.284,0.285,0.157,71.4,18.9,14.8,11.0,34.1,25.2,7.5,9.0,11.9,-5.9,52.6,34.5,88.1,5.4,26.2,7.6,41.9,76.265567024,94.272291557,27.5,52.8
"Díaz, Yilber",700270,2024,23,7,28.1,119,105,27,17,5,2,3,19,12,16.0,10.1,0.257,0.429,0.328,0.757,0.172,0.282,12,13,0,0,85,1,1,1,0,0,3.81,,,2,2,21,0.28,0.428,0.327,0.348,0.352,0.148,71.8,27.0,16.8,14.0,40.3,33.7,7.2,5.0,7.8,0.1,48.9,31.5,91.3,15.4,38.6,4.5,45.5,81.967966136,94.986226782,20.1,43.5
"Castro, Miguel",612434,2024,29,11,13.2,64,59,20,11,5,1,3,8,3,12.5,4.7,0.339,0.61,0.381,0.991,0.271,0.354,9,9,0,0,41,0,0,0,0,0,5.93,,,0,0,8,0.321,0.51,0.421,0.379,0.364,0.189,71.4,25.0,9.4,8.3,31.3,27.8,7.5,2.0,9.6,-3.0,56.9,34.5,84.6,8.3,38.5,5.8,25.0,73.980398846,92.005902941,18.5,46.6
"Nelson, Ryne",669194,2024,26,28,150.2,630,583,155,93,36,9,17,126,34,20.0,5.4,0.266,0.446,0.308,0.754,0.18,0.309,71,73,1,0,452,10,6,4,0,0,4.24,,,2,12,102,0.263,0.419,0.322,0.316,0.307,0.157,71.1,20.4,14.1,11.7,32.9,27.4,7.0,18.0,6.0,3.7,44.8,32.0,90.1,12.0,34.5,7.5,41.6,79.83287319,94.487586272,18.2,51.8
"Allen, Logan",671106,2024,25,20,97.1,432,383,113,62,26,3,22,79,41,18.3,9.5,0.295,0.551,0.367,0.918,0.256,0.319,62,63,0,0,292,8,5,4,0,0,5.73,,,3,5,91,0.271,0.502,0.39,0.369,0.347,0.232,71.7,24.5,20.4,16.7,38.2,31.3,7.3,14.0,9.5,-1.6,51.2,32.9,91.0,13.4,36.0,11.4,46.4,80.018277434,95.493760921,21.2,45.0
"Pfaadt, Brandon",694297,2024,25,32,181.2,760,707,183,122,31,6,24,185,42,24.3,5.5,0.259,0.421,0.302,0.723,0.162,0.316,95,103,0,0,545,11,10,1,0,0,4.71,,,7,13,105,0.243,0.402,0.312,0.303,0.289,0.159,72.1,26.0,13.9,10.5,33.2,25.1,7.4,20.0,11.0,-3.4,52.1,33.2,89.4,14.1,33.0,8.1,39.4,78.684914866,94.224942476,25.4,49.3
"Vieira, Thyago",600986,2024,31,28,38.0,177,147,37,22,6,1,8,39,26,22.0,14.7,0.252,0.469,0.367,0.836,0.217,0.284,22,23,1,0,114,0,1,3,1,0,5.21,,,2,0,16,0.236,0.441,0.361,0.349,0.355,0.205,71.6,24.8,13.5,10.4,32.9,25.2,7.3,6.0,9.9,-1.5,53.3,32.9,89.6,13.0,35.5,10.0,45.5,78.028932,94.877831101,24.8,43.3
"Nelson, Kyle",669459,2024,27,11,10.2,42,37,8,5,1,0,2,8,4,19.0,9.5,0.216,0.405,0.286,0.691,0.189,0.214,5,5,0,1,32,0,0,0,0,0,4.22,,,0,0,1,0.311,0.502,0.289,0.365,0.369,0.191,72.3,28.9,15.8,13.3,34.2,28.9,7.8,0.0,18.4,-9.7,51.1,34.7,91.0,16.2,40.0,6.7,53.3,79.6126,95.550509,23.0,51.0
"Montgomery, Jordan",656756,2024,31,25,117.0,532,478,149,92,40,3,14,83,44,15.6,8.3,0.312,0.496,0.369,0.865,0.184,0.351,81,83,1,0,351,8,7,7,0,0,6.23,,,14,6,82,0.285,0.452,0.37,0.35,0.348,0.167,72.0,25.5,17.1,12.9,37.9,28.6,7.6,20.0,13.6,-6.8,54.9,33.3,88.6,12.2,36.6,6.0,41.0,77.212722234,94.218289135,26.9,49.6
"Saalfrank, Andrew",685314,2024,26,2,1.0,8,4,2,0,2,0,0,0,4,0.0,50.0,0.5,1.0,0.75,1.75,0.5,0.5,4,4,0,0,3,0,0,1,0,0,36.0,,,0,0,0,0.423,0.847,0.654,0.597,0.711,0.424,72.8,20.0,37.5,30.0,37.5,30.0,7.8,0.0,18.9,-9.6,50.0,36.1,96.8,10.7,75.0,25.0,75.0,89.296815,99.6347775,20.0,38.5
"Walston, Blake",686796,2024,23,7,18.1,83,70,16,10,2,0,4,18,10,21.7,12.0,0.229,0.429,0.349,0.778,0.2,0.25,9,12,0,0,55,1,0,0,0,0,4.42,,,0,0,8,0.23,0.428,0.344,0.345,0.351,0.198,72.6,33.3,12.3,9.4,30.2,23.2,7.4,1.0,11.0,-3.3,50.0,33.7,90.1,18.9,28.8,9.6,36.5,80.331414231,94.187306538,22.1,44.9
"Hughes, Brandon",676714,2024,28,15,17.2,89,76,24,11,5,0,8,21,10,23.6,11.2,0.316,0.697,0.404,1.101,0.381,0.333,16,16,0,0,53,0,0,1,0,0,8.15,,,1,0,3,0.3,0.7,0.457,0.451,0.391,0.4,71.3,23.9,14.9,11.2,31.7,23.9,7.3,2.0,11.2,-4.5,56.0,31.8,86.5,16.7,46.4,21.4,41.1,71.808025714,94.675940893,28.5,45.1
"Allen, Logan",663531,2024,27,12,28.0,128,114,32,23,6,0,3,21,10,16.4,7.8,0.281,0.412,0.344,0.756,0.131,0.315,17,17,1,0,84,0,1,0,0,0,5.46,,,3,0,9,0.302,0.453,0.33,0.36,0.365,0.15,72.0,25.2,14.9,12.1,33.3,27.2,7.4,2.0,11.1,-2.5,52.4,32.8,89.3,12.9,41.1,5.3,40.0,78.776739375,94.108398632,19.7,49.6
"Ginkel, Kevin",656464,2024,30,72,70.0,291,270,69,46,16,1,6,77,15,26.5,5.2,0.256,0.389,0.3,0.689,0.133,0.333,25,31,5,6,210,8,3,4,0,0,3.21,,,6,0,45,0.229,0.367,0.3,0.283,0.277,0.138,70.6,18.2,12.9,9.9,32.8,25.2,7.1,16.0,8.0,1.8,48.8,32.0,89.8,10.0,35.2,5.6,40.8,79.446978557,94.349364691,27.9,49.3
"Jacques, Joe",682175,2024,29,2,3.0,16,14,6,4,1,0,1,2,1,12.5,6.3,0.429,0.714,0.5,1.214,0.285,0.455,3,3,0,0,9,0,0,1,0,0,9.0,,,2,0,3,0.438,0.779,0.515,0.545,0.509,0.34,70.1,15.0,31.3,25.0,56.3,45.0,7.2,0.0,8.2,-2.9,60.0,34.0,87.1,0.1,41.7,16.7,50.0,72.731283333,95.712816667,16.7,48.0
"McGough, Scott",543518,2024,34,26,32.2,150,124,34,16,10,2,6,25,21,16.7,14.0,0.274,0.532,0.373,0.905,0.258,0.289,27,30,0,2,98,1,3,1,1,0,7.44,,,4,0,29,0.256,0.506,0.382,0.37,0.361,0.25,71.8,26.9,14.3,10.8,32.7,24.7,7.4,3.0,11.0,-3.1,51.6,33.9,90.8,13.2,34.0,11.7,41.7,81.219632885,94.634885049,25.5,48.9
"Castellanos, Humberto",528748,2024,26,7,10.1,48,41,11,8,3,0,0,7,4,14.6,8.3,0.268,0.341,0.354,0.695,0.073,0.314,6,6,1,0,31,0,0,1,0,0,5.23,,,1,0,17,0.311,0.41,0.313,0.358,0.395,0.1,71.3,23.5,16.2,13.6,33.8,28.4,7.0,0.0,8.0,-1.2,48.1,30.6,86.9,18.9,48.6,0.0,37.1,75.173592222,93.806387714,15.6,48.4
