"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Clarke, Taylor",664199,2021,28,43,43.1,194,179,52,34,14,0,4,39,14,20.1,7.2,0.291,0.436,0.34,0.776,0.145,0.35,24,28,0,1,130,1,3,2,0,0,4.98,,,2,0,12,0.258,0.443,0.331,0.322,0.311,0.185,,,,,,,,,,,,,91.9,15.8,35.5,7.8,43.3,82.505932714,95.059401511,22.7,51.3
"Duplantier, Jon",641541,2021,26,4,13.0,70,59,19,11,3,0,5,12,8,17.1,11.4,0.322,0.627,0.42,1.047,0.305,0.333,19,19,0,0,39,0,3,0,0,0,13.15,,,0,0,4,0.269,0.531,0.441,0.389,0.375,0.262,,,,,,,,,,,,,90.2,7.8,33.3,14.6,39.6,80.2921325,94.516511489,20.8,44.4
"Ramirez, Noé",598287,2021,31,38,36.0,147,129,23,15,5,0,3,29,12,19.7,8.2,0.178,0.287,0.26,0.547,0.109,0.202,12,14,1,2,108,0,2,2,0,0,3.0,,,6,0,10,0.19,0.309,0.246,0.265,0.275,0.119,,,,,,,,,,,,,88.4,24.9,31.1,4.9,28.2,79.775197843,92.683077426,24.3,46.3
"Frankoff, Seth",571676,2021,32,4,14.2,74,60,20,13,3,0,4,11,9,14.9,12.2,0.333,0.583,0.437,1.02,0.25,0.356,15,15,0,0,44,0,2,3,0,0,9.2,,,1,0,8,0.251,0.496,0.434,0.375,0.367,0.245,,,,,,,,,,,,,85.2,9.9,26.9,7.7,36.5,71.2525748,93.772037143,17.9,47.3
"Weaver, Luke",596133,2021,27,13,65.2,275,249,58,27,14,6,11,62,20,22.5,7.3,0.233,0.47,0.292,0.762,0.237,0.266,31,34,0,0,197,3,6,0,0,0,4.25,,,5,4,31,0.247,0.455,0.317,0.326,0.307,0.207,,,,,,,,,,,,,90.1,14.5,36.1,9.4,41.4,79.950894149,94.551155266,23.7,51.3
"Smith, Caleb",592761,2021,29,45,113.2,500,429,93,54,19,0,20,124,63,24.8,12.6,0.217,0.401,0.325,0.726,0.184,0.256,61,64,0,2,341,4,9,2,0,0,4.83,,,6,3,55,0.211,0.385,0.317,0.312,0.32,0.174,,,,,,,,,,,,,86.8,23.7,36.3,8.5,29.1,76.071030066,92.770687417,27.5,46.2
"Poppen, Sean",664092,2021,27,24,22.2,110,98,31,23,3,3,2,26,9,23.6,8.2,0.316,0.469,0.391,0.86,0.153,0.414,13,18,1,0,68,1,1,2,0,0,5.16,,,0,0,17,0.277,0.444,0.367,0.346,0.356,0.167,,,,,,,,,,,,,89.6,7.2,38.9,6.9,48.6,77.4584925,95.113280833,25.9,40.9
"Martin, Corbin",656686,2021,25,5,16.0,86,68,23,12,5,1,5,13,14,15.1,16.3,0.338,0.662,0.452,1.114,0.324,0.353,19,19,0,0,48,0,3,0,0,0,10.69,,,0,0,3,0.311,0.644,0.461,0.449,0.432,0.333,,,,,,,,,,,,,93.8,16.5,39.7,13.8,51.7,85.052222143,96.217830182,19.4,45.3
"Wendelken, J.B.",605525,2021,28,46,43.2,194,172,44,32,8,0,4,39,22,20.1,11.3,0.256,0.372,0.34,0.712,0.116,0.31,21,24,2,1,131,4,3,4,0,0,4.33,,,1,0,23,0.26,0.42,0.31,0.331,0.345,0.16,,,,,,,,,,,,,87.9,11.9,30.8,6.8,34.6,76.414271212,93.861693435,23.7,47.4
"Swarzak, Anthony",461872,2021,35,13,12.1,56,54,20,11,4,1,4,9,1,16.1,1.8,0.37,0.704,0.393,1.097,0.334,0.39,13,13,0,0,37,0,1,0,1,0,9.49,,,0,0,7,0.317,0.621,0.458,0.406,0.342,0.304,,,,,,,,,,,,,91.0,16.2,51.1,13.3,42.2,80.785397273,94.733356364,16.3,49.2
"Crichton, Stefan",592233,2021,29,31,23.1,117,99,33,23,7,0,3,17,12,14.5,10.3,0.333,0.495,0.419,0.914,0.162,0.37,19,22,4,0,70,0,4,3,1,0,7.33,,,2,0,2,0.256,0.395,0.386,0.349,0.366,0.139,,,,,,,,,,,,,90.5,15.1,22.6,6.0,45.2,79.678272619,95.156454643,15.4,43.4
"Frías, Luis",666818,2021,23,3,3.1,16,10,2,1,1,0,0,3,5,18.8,31.3,0.2,0.3,0.438,0.738,0.1,0.25,1,1,0,0,10,0,0,0,0,0,2.7,,,0,0,0,0.23,0.359,0.349,0.383,0.464,0.129,,,,,,,,,,,,,91.0,6.6,37.5,0.0,50.0,79.4852275,95.89987375,22.2,39.7
"López, Yoan",661255,2021,28,13,12.1,61,54,18,10,4,1,3,13,6,21.3,9.8,0.333,0.611,0.393,1.004,0.278,0.385,9,10,0,3,37,0,0,0,0,0,6.57,,,2,0,7,0.296,0.533,0.409,0.383,0.369,0.238,,,,,,,,,,,,,91.7,10.5,35.7,14.3,38.1,84.030573333,94.228523333,28.3,46.0
"Kelly, Merrill",518876,2021,32,27,158.0,667,612,163,107,31,4,21,130,41,19.5,6.1,0.266,0.433,0.315,0.748,0.167,0.305,78,82,0,0,474,7,11,2,0,0,4.44,,,9,10,83,0.266,0.436,0.319,0.324,0.315,0.17,,,,,,,,,,,,,89.0,12.9,33.1,6.3,39.6,78.355076255,94.143832227,20.6,49.2
"Smith, Riley",642092,2021,26,24,67.1,301,279,86,48,26,2,10,36,15,12.0,5.0,0.308,0.523,0.35,0.873,0.215,0.323,45,46,1,0,202,1,4,0,0,0,6.01,,,2,1,25,0.281,0.483,0.368,0.347,0.326,0.202,,,,,,,,,,,,,89.3,10.0,38.6,7.3,41.1,78.290251488,94.443854008,13.8,47.3
"Gilbert, Tyler",656457,2021,27,9,40.0,157,140,28,17,6,1,4,25,13,15.9,8.3,0.2,0.343,0.269,0.612,0.143,0.212,14,17,0,0,120,2,2,0,0,1,3.15,,,2,2,21,0.227,0.405,0.267,0.309,0.297,0.178,,,,,,,,,,,,,88.9,17.4,25.4,6.8,33.9,79.19509,93.363837857,16.8,52.7
"Mella, Keury",622492,2021,27,2,1.2,15,13,8,5,1,0,2,2,2,13.3,13.3,0.615,1.154,0.667,1.821,0.539,0.667,6,6,0,0,5,0,0,0,0,0,32.4,,,0,0,1,0.391,0.706,0.736,0.494,0.472,0.316,,,,,,,,,,,,,91.2,21.4,63.6,18.2,36.4,84.733898333,93.398940909,18.2,44.0
"Castellanos, Humberto",528748,2021,23,14,45.2,196,173,48,31,9,1,7,29,15,14.8,7.7,0.277,0.462,0.342,0.804,0.185,0.299,25,26,0,1,137,2,2,0,0,0,4.93,,,1,0,31,0.238,0.416,0.347,0.317,0.307,0.178,,,,,,,,,,,,,87.9,13.2,29.5,7.4,34.2,76.693579167,93.657754931,15.1,44.6
"Buchter, Ryan",488748,2021,34,18,16.1,78,62,16,6,5,0,5,16,13,20.5,16.7,0.258,0.581,0.397,0.978,0.323,0.262,12,13,0,1,49,0,2,0,1,0,6.61,,,1,0,19,0.233,0.536,0.406,0.395,0.383,0.302,,,,,,,,,,,,,90.9,22.8,31.9,14.9,46.8,81.149480833,94.985720426,22.7,43.5
"Poppen, Sean",664092,2022,28,29,28.2,120,102,27,15,6,1,5,22,12,18.3,10.0,0.265,0.49,0.336,0.826,0.225,0.278,14,15,0,1,86,2,2,2,0,0,4.4,,,1,0,13,0.219,0.373,0.342,0.295,0.305,0.154,,,,,,,,,,,,,89.1,16.6,35.3,7.1,36.5,79.430733659,93.5045,16.0,42.8
"Castellanos, Humberto",528748,2022,24,11,44.1,194,173,50,32,10,1,7,32,12,16.5,6.2,0.289,0.48,0.342,0.822,0.191,0.312,28,29,0,0,133,3,2,2,0,0,5.68,,,1,0,25,0.276,0.474,0.353,0.35,0.335,0.197,,,,,,,,,,,,,89.6,16.5,39.3,6.9,37.9,79.704988333,93.986997569,17.8,46.7
"Ramirez, Noé",598287,2022,32,55,50.0,215,184,45,26,9,1,9,51,26,23.7,12.1,0.245,0.451,0.346,0.797,0.206,0.288,29,32,0,4,150,5,4,2,0,0,5.22,,,6,0,26,0.218,0.41,0.346,0.32,0.324,0.192,,,,,,,,,,,,,87.8,14.8,34.1,8.9,37.0,76.525013485,93.593493969,27.6,46.8
"Fry, Paul",643316,2022,29,13,13.0,61,48,11,8,1,1,1,14,9,23.0,14.8,0.229,0.354,0.367,0.721,0.125,0.294,9,10,0,0,39,0,0,2,0,0,6.23,,,1,0,4,0.253,0.373,0.327,0.346,0.388,0.12,,,,,,,,,,,,,94.6,-1.6,31.4,2.9,51.4,85.323633333,97.026545143,27.6,42.2
"Gallen, Zac",668678,2022,26,31,184.0,714,651,121,73,32,1,15,192,47,26.9,6.6,0.186,0.307,0.252,0.559,0.121,0.237,52,56,0,0,552,12,4,5,0,0,2.54,,,6,19,93,0.211,0.348,0.25,0.279,0.277,0.137,,,,,,,,,,,,,87.8,10.8,33.0,7.8,36.1,76.866627074,93.452634902,23.0,47.4
"Smith, Caleb",592761,2022,30,44,70.0,302,261,57,31,11,1,14,65,39,21.5,12.9,0.218,0.429,0.322,0.751,0.211,0.236,32,35,0,0,210,1,3,1,0,0,4.11,,,1,0,25,0.21,0.38,0.329,0.308,0.315,0.17,,,,,,,,,,,,,86.0,24.1,29.9,6.6,29.9,74.346808557,92.812480361,28.8,48.7
"Holton, Tyler",663947,2022,26,10,9.0,39,36,8,6,1,0,1,6,2,15.4,5.1,0.222,0.333,0.282,0.615,0.111,0.241,3,3,0,0,27,0,0,1,0,0,3.0,,,0,0,5,0.236,0.392,0.275,0.302,0.295,0.156,,,,,,,,,,,,,86.6,21.5,43.3,3.3,36.7,74.191236,93.508281333,29.6,50.9
"Gilbert, Tyler",656457,2022,28,8,34.1,146,132,33,20,5,0,8,20,10,13.7,6.8,0.25,0.47,0.306,0.776,0.22,0.238,20,21,0,0,103,0,3,0,0,0,5.24,,,1,0,12,0.299,0.588,0.332,0.397,0.352,0.289,,,,,,,,,,,,,88.9,19.1,41.2,11.4,42.1,78.201279649,94.20946115,19.6,48.8
"Frías, Luis",666818,2022,24,15,17.0,90,72,23,16,5,1,1,14,17,15.6,18.9,0.319,0.458,0.456,0.914,0.139,0.386,20,20,0,0,51,1,1,4,1,0,10.59,,,0,0,18,0.258,0.397,0.406,0.362,0.406,0.139,,,,,,,,,,,,,91.6,14.3,31.0,5.2,44.8,81.989649655,94.794164828,23.6,45.2
