"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Suárez, Eugenio",553993,2025,33,588,657,134,57,28,0,49,196,46,29.8,7.0,0.228,0.526,0.298,0.824,0.298,0.243,118,267,309,1,4,0.211,0.463,0.347,0.32,0.285,0.252,72.3,26.5,15.4,10.8,31.6,22.1,7.8,57.0,18.5,-5.5,44.4,38.7,90.2,21.9,32.8,14.3
"Marte, Ketel",606466,2025,31,480,556,136,80,28,0,28,83,64,14.9,11.5,0.283,0.517,0.376,0.893,0.234,0.29,72,203,248,2,4,0.285,0.534,0.381,0.39,0.379,0.249,74.6,45.5,19.3,15.2,35.6,28.0,7.8,14.0,10.1,-7.2,61.5,32.0,90.8,14.8,33.0,13.5
"Hampson, Garrett",641658,2025,30,77,91,11,9,2,0,0,29,11,31.9,12.1,0.143,0.169,0.25,0.419,0.026,0.229,1,35,13,1,3,0.15,0.194,0.205,0.217,0.256,0.044,67.1,0.0,4.0,3.1,27.7,22.0,6.7,2.0,9.4,-2.9,48.0,30.5,84.3,22.5,25.5,2.0
"Naylor, Josh",647304,2025,28,543,604,160,110,29,1,20,83,48,13.7,7.9,0.295,0.462,0.353,0.815,0.167,0.315,92,231,251,2,30,0.271,0.436,0.351,0.335,0.335,0.166,71.0,17.9,16.3,13.0,39.2,31.2,7.6,21.0,7.5,-8.3,44.0,31.4,89.2,11.6,30.8,6.7
"Smith, Pavin",656976,2025,29,244,288,63,37,17,1,8,92,41,31.9,14.2,0.258,0.434,0.362,0.796,0.176,0.377,28,113,106,2,2,0.215,0.398,0.348,0.319,0.327,0.183,72.0,21.6,14.7,10.5,31.3,22.3,7.4,22.0,13.3,0.9,51.9,32.7,90.1,12.4,37.0,11.7
"English, Tristin",663536,2025,28,22,23,2,1,1,0,0,8,1,34.8,4.3,0.091,0.136,0.13,0.266,0.045,0.143,1,6,3,0,0,0.098,0.144,0.123,0.131,0.137,0.046,72.1,25.5,2.7,2.1,27.0,21.3,7.2,0.0,8.0,-4.6,42.6,31.7,91.7,13.2,35.7,0.0
"Kaiser, Connor",663731,2025,28,18,19,2,1,1,0,0,5,1,26.3,5.3,0.111,0.167,0.158,0.325,0.056,0.154,2,8,3,0,0,0.184,0.317,0.149,0.239,0.227,0.134,70.5,11.5,5.6,3.8,33.3,23.1,7.6,1.0,8.4,-5.3,50.0,30.4,82.1,29.5,38.5,7.7
"McCarthy, Jake",664983,2025,27,206,222,42,26,7,5,4,40,10,18.0,4.5,0.204,0.345,0.247,0.592,0.141,0.233,20,88,71,0,6,0.239,0.374,0.256,0.286,0.28,0.135,69.8,7.8,9.0,7.2,33.5,27.0,7.0,3.0,8.4,-1.2,48.1,32.4,84.7,6.5,28.2,5.3
"Moreno, Gabriel",672515,2025,25,277,309,79,57,12,1,9,53,29,17.2,9.4,0.285,0.433,0.353,0.786,0.148,0.323,40,121,120,2,2,0.279,0.453,0.34,0.346,0.349,0.174,70.9,15.9,13.5,11.4,36.9,31.1,6.9,9.0,8.3,4.4,51.1,33.8,90.4,14.4,39.8,7.1
"Perdomo, Geraldo",672695,2025,25,597,720,173,115,33,5,20,83,94,11.5,13.1,0.29,0.462,0.389,0.851,0.172,0.303,100,214,276,6,27,0.278,0.424,0.37,0.356,0.381,0.146,68.3,4.6,10.2,9.1,36.0,32.3,6.9,21.0,7.4,-1.8,49.9,35.4,87.6,15.5,36.2,6.2
"Alexander, Blaze",677942,2025,26,230,266,53,33,12,1,7,86,22,32.3,8.3,0.23,0.383,0.323,0.706,0.153,0.333,28,102,88,6,4,0.211,0.374,0.313,0.305,0.308,0.164,72.1,25.6,15.2,10.5,28.4,19.6,7.4,8.0,8.9,3.9,47.1,36.1,90.2,7.3,35.8,12.8
"Thomas, Alek",677950,2025,25,433,469,108,77,19,3,9,122,21,26.0,4.5,0.249,0.37,0.289,0.659,0.121,0.324,38,193,160,4,7,0.242,0.372,0.287,0.289,0.285,0.13,71.2,14.5,16.4,12.2,34.1,25.3,7.0,31.0,10.0,0.2,60.2,27.6,89.6,4.2,27.7,7.8
"Barrosa, Jorge",678489,2025,24,71,77,10,6,3,0,1,22,2,28.6,2.6,0.141,0.225,0.169,0.394,0.084,0.176,7,34,16,0,0,0.165,0.243,0.171,0.193,0.194,0.077,68.2,2.9,6.0,4.3,33.0,23.9,7.8,1.0,15.4,-6.6,58.0,27.9,87.8,7.7,26.9,0.0
"Locklear, Tyler",682988,2025,24,103,116,18,15,0,0,3,43,10,37.1,8.6,0.175,0.262,0.267,0.529,0.087,0.263,6,60,27,1,3,0.172,0.287,0.245,0.252,0.265,0.115,71.5,16.3,13.3,9.6,23.3,16.8,7.2,14.0,12.6,1.4,48.6,34.0,87.9,7.0,18.3,6.7
"Carroll, Corbin",682998,2025,24,564,642,146,66,32,17,31,153,67,23.8,10.4,0.259,0.541,0.343,0.884,0.282,0.299,84,205,305,6,32,0.262,0.529,0.371,0.372,0.348,0.267,74.7,45.6,19.4,14.9,30.4,23.3,7.3,20.0,11.0,-3.3,68.4,25.7,92.1,16.7,33.5,14.5
"Lawlar, Jordan",691783,2025,22,66,74,12,5,7,0,0,26,6,35.1,8.1,0.182,0.288,0.257,0.545,0.106,0.293,5,22,19,0,2,0.19,0.294,0.244,0.253,0.266,0.104,71.7,18.9,9.9,6.6,25.4,17.0,7.7,3.0,17.6,-13.3,48.1,34.2,87.0,17.2,36.6,4.9
"Tawa, Tim",694374,2025,26,199,225,40,25,8,0,7,64,20,28.4,8.9,0.201,0.347,0.274,0.621,0.146,0.252,18,102,69,2,8,0.206,0.368,0.273,0.29,0.284,0.162,73.1,31.0,16.5,11.3,30.9,21.2,7.1,10.0,11.1,-5.4,54.1,31.8,89.2,6.8,31.4,9.3
