"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Kennedy, Buddy",671083,2022,23,83,94,18,13,2,2,1,23,8,24.5,8.5,0.217,0.325,0.287,0.612,0.108,0.279,12,23,27,0,0,0.196,0.287,0.271,0.257,0.275,0.091,,,,,,,,,,,,,88.6,13.0,38.7,1.6
"Perdomo, Geraldo",672695,2022,22,431,500,84,67,10,2,5,103,50,20.6,10.0,0.195,0.262,0.285,0.547,0.067,0.243,40,168,113,2,9,0.215,0.294,0.253,0.274,0.304,0.078,,,,,,,,,,,,,85.0,12.1,28.1,2.0
"Thomas, Alek",677950,2022,22,381,411,88,62,17,1,8,74,22,18.0,5.4,0.231,0.344,0.275,0.619,0.113,0.263,39,162,131,3,4,0.237,0.345,0.272,0.28,0.284,0.108,,,,,,,,,,,,,87.4,2.6,27.9,3.8
"Carroll, Corbin",682998,2022,21,104,115,27,12,9,2,4,31,8,27.0,7.0,0.26,0.5,0.33,0.83,0.24,0.333,14,46,52,1,2,0.222,0.372,0.358,0.297,0.296,0.15,,,,,,,,,,,,,85.8,9.1,34.2,5.5
"Longoria, Evan",446334,2023,37,211,237,47,27,9,0,11,73,23,30.8,9.7,0.223,0.422,0.295,0.717,0.199,0.277,28,102,89,0,0,0.228,0.451,0.308,0.324,0.302,0.223,72.0,19.8,13.1,9.9,40.5,30.6,7.8,2.0,15.3,-4.7,52.3,37.5,92.2,15.6,37.6,10.6
"Pham, Tommy",502054,2023,35,426,481,109,63,27,3,16,106,47,22.0,9.8,0.256,0.446,0.328,0.774,0.19,0.3,68,171,190,3,22,0.278,0.475,0.332,0.359,0.353,0.197,73.8,41.9,20.9,16.5,38.8,30.8,6.9,8.0,6.6,-0.8,40.5,28.4,92.3,5.7,34.4,10.7
"Walker, Christian",572233,2023,32,582,661,150,79,36,2,33,127,62,19.2,9.4,0.258,0.497,0.333,0.83,0.239,0.272,103,262,289,0,11,0.247,0.465,0.351,0.34,0.325,0.219,75.0,49.7,15.1,11.0,26.6,19.4,7.4,17.0,8.2,-4.7,46.4,30.8,88.0,15.8,32.6,11.4
"Ahmed, Nick",605113,2023,33,198,210,42,29,10,1,2,52,12,24.8,5.7,0.212,0.303,0.257,0.56,0.091,0.278,17,92,60,1,5,0.225,0.328,0.247,0.264,0.269,0.104,69.7,13.9,11.8,8.9,32.9,24.8,7.3,0.0,11.7,-0.1,61.4,27.0,85.2,12.8,32.9,2.7
"Marte, Ketel",606466,2023,29,569,650,157,97,26,9,25,109,71,16.8,10.9,0.276,0.485,0.358,0.843,0.209,0.3,82,220,276,2,8,0.262,0.43,0.361,0.342,0.349,0.169,73.1,33.9,17.4,13.8,31.6,25.1,7.5,8.0,8.0,-7.4,52.3,32.8,91.1,10.7,30.8,8.0
"Peterson, Jace",607054,2023,33,374,430,79,59,10,4,6,101,47,23.5,10.9,0.211,0.307,0.304,0.611,0.096,0.27,37,159,115,2,15,0.212,0.334,0.275,0.287,0.306,0.122,67.6,4.9,5.3,3.9,35.5,26.3,6.9,3.0,12.5,-6.7,53.7,33.2,85.7,14.4,33.5,4.7
