Player,WAR
Zac Gallen,15.5
Merrill Kelly,14.4
Ryne Nelson,5.9
Drey Jameson,2.2
Corbin Burnes,2.0
Ryan Thompson,2.0
Andrew Saalfrank*,1.8
Shelby Miller,1.6
Justin Martínez,1.5999999999999999
A.J. Puk*,1.5
Bryce Jarvis,1.2000000000000002
Kyle Nelson*,1.0
Taylor Widener,1.0
Tyler Gilbert*,0.9000000000000001
Jalen Beeks*,0.9
Kevin Ginkel,0.8
Joe Mantiply*,0.7999999999999999
Caleb Smith*,0.7999999999999999
Paul Sewald,0.6000000000000001
Tyler Clippard,0.6
