Year,team_WAR,total_IP,avg_age,n_pitchers
2021,3.6999999999999997,1406.6,28.70731707317073,41
2022,5.3999999999999995,1424.4,28.818181818181817,33
2023,11.100000000000001,1428.8,28.08823529411765,34
2024,5.8999999999999995,1435.4,28.4375,32
2025,12.1,1434.2,29.166666666666668,42
